"area","geographic_level","time_period","age_group","level_or_type","achievements","Year","level_or_typeNeat","AY"
"Enterprise M3 LEP (including all of Surrey)","LSIP",202021,NA,"Apprenticeships: Total",2330,20,"Apprenticeships (all ages)","20/21"
"Enterprise M3 LEP (including all of Surrey)","LSIP",202021,NA,"Community learning: Total",6010,20,"Community learning (adults only)","20/21"
"Enterprise M3 LEP (including all of Surrey)","LSIP",202021,NA,"Education and training: Total",7020,20,"Education and training (adults only)","20/21"
"Enterprise M3 LEP (including all of Surrey)","LSIP",202021,NA,"Further education and skills: Total",15430,20,"Total FE and skills provision","20/21"
"Essex, Southend-on-Sea and Thurrock","LSIP",202021,NA,"Apprenticeships: Total",4700,20,"Apprenticeships (all ages)","20/21"
"Essex, Southend-on-Sea and Thurrock","LSIP",202021,NA,"Community learning: Total",6640,20,"Community learning (adults only)","20/21"
"Essex, Southend-on-Sea and Thurrock","LSIP",202021,NA,"Education and training: Total",15250,20,"Education and training (adults only)","20/21"
"Essex, Southend-on-Sea and Thurrock","LSIP",202021,NA,"Further education and skills: Total",25710,20,"Total FE and skills provision","20/21"
"Gloucestershire","LSIP",202021,NA,"Apprenticeships: Total",2020,20,"Apprenticeships (all ages)","20/21"
"Gloucestershire","LSIP",202021,NA,"Community learning: Total",1750,20,"Community learning (adults only)","20/21"
"Gloucestershire","LSIP",202021,NA,"Education and training: Total",5850,20,"Education and training (adults only)","20/21"
"Gloucestershire","LSIP",202021,NA,"Further education and skills: Total",9560,20,"Total FE and skills provision","20/21"
"Greater Lincolnshire","LSIP",202021,NA,"Apprenticeships: Total",3310,20,"Apprenticeships (all ages)","20/21"
"Greater Lincolnshire","LSIP",202021,NA,"Community learning: Total",6300,20,"Community learning (adults only)","20/21"
"Greater Lincolnshire","LSIP",202021,NA,"Education and training: Total",12990,20,"Education and training (adults only)","20/21"
"Greater Lincolnshire","LSIP",202021,NA,"Further education and skills: Total",21870,20,"Total FE and skills provision","20/21"
"Greater London","LSIP",202021,NA,"Apprenticeships: Total",15280,20,"Apprenticeships (all ages)","20/21"
"Greater London","LSIP",202021,NA,"Community learning: Total",54410,20,"Community learning (adults only)","20/21"
"Greater London","LSIP",202021,NA,"Education and training: Total",140370,20,"Education and training (adults only)","20/21"
"Greater London","LSIP",202021,NA,"Further education and skills: Total",204320,20,"Total FE and skills provision","20/21"
"Greater Manchester","LSIP",202021,NA,"Apprenticeships: Total",8710,20,"Apprenticeships (all ages)","20/21"
"Greater Manchester","LSIP",202021,NA,"Community learning: Total",12960,20,"Community learning (adults only)","20/21"
"Greater Manchester","LSIP",202021,NA,"Education and training: Total",38290,20,"Education and training (adults only)","20/21"
"Greater Manchester","LSIP",202021,NA,"Further education and skills: Total",55830,20,"Total FE and skills provision","20/21"
"Heart of the South-West","LSIP",202021,NA,"Apprenticeships: Total",6050,20,"Apprenticeships (all ages)","20/21"
"Heart of the South-West","LSIP",202021,NA,"Community learning: Total",6940,20,"Community learning (adults only)","20/21"
"Heart of the South-West","LSIP",202021,NA,"Education and training: Total",20050,20,"Education and training (adults only)","20/21"
"Heart of the South-West","LSIP",202021,NA,"Further education and skills: Total",33140,20,"Total FE and skills provision","20/21"
"Hertfordshire","LSIP",202021,NA,"Apprenticeships: Total",2540,20,"Apprenticeships (all ages)","20/21"
"Hertfordshire","LSIP",202021,NA,"Community learning: Total",4710,20,"Community learning (adults only)","20/21"
"Hertfordshire","LSIP",202021,NA,"Education and training: Total",8860,20,"Education and training (adults only)","20/21"
"Hertfordshire","LSIP",202021,NA,"Further education and skills: Total",15890,20,"Total FE and skills provision","20/21"
"Hull and East Yorkshire","LSIP",202021,NA,"Apprenticeships: Total",2900,20,"Apprenticeships (all ages)","20/21"
"Hull and East Yorkshire","LSIP",202021,NA,"Community learning: Total",1420,20,"Community learning (adults only)","20/21"
"Hull and East Yorkshire","LSIP",202021,NA,"Education and training: Total",7910,20,"Education and training (adults only)","20/21"
"Hull and East Yorkshire","LSIP",202021,NA,"Further education and skills: Total",12260,20,"Total FE and skills provision","20/21"
"Kent and Medway","LSIP",202021,NA,"Apprenticeships: Total",4780,20,"Apprenticeships (all ages)","20/21"
"Kent and Medway","LSIP",202021,NA,"Community learning: Total",6770,20,"Community learning (adults only)","20/21"
"Kent and Medway","LSIP",202021,NA,"Education and training: Total",14860,20,"Education and training (adults only)","20/21"
"Kent and Medway","LSIP",202021,NA,"Further education and skills: Total",27020,20,"Total FE and skills provision","20/21"
"Lancashire","LSIP",202021,NA,"Apprenticeships: Total",4860,20,"Apprenticeships (all ages)","20/21"
"Lancashire","LSIP",202021,NA,"Community learning: Total",9590,20,"Community learning (adults only)","20/21"
"Lancashire","LSIP",202021,NA,"Education and training: Total",19570,20,"Education and training (adults only)","20/21"
"Lancashire","LSIP",202021,NA,"Further education and skills: Total",31920,20,"Total FE and skills provision","20/21"
"Leicester and Leicestershire","LSIP",202021,NA,"Apprenticeships: Total",2880,20,"Apprenticeships (all ages)","20/21"
"Leicester and Leicestershire","LSIP",202021,NA,"Community learning: Total",3220,20,"Community learning (adults only)","20/21"
"Leicester and Leicestershire","LSIP",202021,NA,"Education and training: Total",13150,20,"Education and training (adults only)","20/21"
"Leicester and Leicestershire","LSIP",202021,NA,"Further education and skills: Total",18960,20,"Total FE and skills provision","20/21"
"Liverpool City Region","LSIP",202021,NA,"Apprenticeships: Total",4680,20,"Apprenticeships (all ages)","20/21"
"Liverpool City Region","LSIP",202021,NA,"Community learning: Total",9840,20,"Community learning (adults only)","20/21"
"Liverpool City Region","LSIP",202021,NA,"Education and training: Total",24080,20,"Education and training (adults only)","20/21"
"Liverpool City Region","LSIP",202021,NA,"Further education and skills: Total",36280,20,"Total FE and skills provision","20/21"
"Norfolk and Suffolk (Greater Anglia)","LSIP",202021,NA,"Apprenticeships: Total",4530,20,"Apprenticeships (all ages)","20/21"
"Norfolk and Suffolk (Greater Anglia)","LSIP",202021,NA,"Community learning: Total",4700,20,"Community learning (adults only)","20/21"
"Norfolk and Suffolk (Greater Anglia)","LSIP",202021,NA,"Education and training: Total",14010,20,"Education and training (adults only)","20/21"
"Norfolk and Suffolk (Greater Anglia)","LSIP",202021,NA,"Further education and skills: Total",23560,20,"Total FE and skills provision","20/21"
"North East","LSIP",202021,NA,"Apprenticeships: Total",4160,20,"Apprenticeships (all ages)","20/21"
"North East","LSIP",202021,NA,"Community learning: Total",5410,20,"Community learning (adults only)","20/21"
"North East","LSIP",202021,NA,"Education and training: Total",23190,20,"Education and training (adults only)","20/21"
"North East","LSIP",202021,NA,"Further education and skills: Total",31850,20,"Total FE and skills provision","20/21"
"North of Tyne","LSIP",202021,NA,"Apprenticeships: Total",2350,20,"Apprenticeships (all ages)","20/21"
"North of Tyne","LSIP",202021,NA,"Community learning: Total",2450,20,"Community learning (adults only)","20/21"
"North of Tyne","LSIP",202021,NA,"Education and training: Total",11440,20,"Education and training (adults only)","20/21"
"North of Tyne","LSIP",202021,NA,"Further education and skills: Total",15270,20,"Total FE and skills provision","20/21"
"Oxfordshire","LSIP",202021,NA,"Apprenticeships: Total",1590,20,"Apprenticeships (all ages)","20/21"
"Oxfordshire","LSIP",202021,NA,"Community learning: Total",2620,20,"Community learning (adults only)","20/21"
"Oxfordshire","LSIP",202021,NA,"Education and training: Total",5810,20,"Education and training (adults only)","20/21"
"Oxfordshire","LSIP",202021,NA,"Further education and skills: Total",9870,20,"Total FE and skills provision","20/21"
"Solent","LSIP",202021,NA,"Apprenticeships: Total",4650,20,"Apprenticeships (all ages)","20/21"
"Solent","LSIP",202021,NA,"Community learning: Total",4060,20,"Community learning (adults only)","20/21"
"Solent","LSIP",202021,NA,"Education and training: Total",12600,20,"Education and training (adults only)","20/21"
"Solent","LSIP",202021,NA,"Further education and skills: Total",22000,20,"Total FE and skills provision","20/21"
"South East Midlands","LSIP",202021,NA,"Apprenticeships: Total",4600,20,"Apprenticeships (all ages)","20/21"
"South East Midlands","LSIP",202021,NA,"Community learning: Total",4210,20,"Community learning (adults only)","20/21"
"South East Midlands","LSIP",202021,NA,"Education and training: Total",19850,20,"Education and training (adults only)","20/21"
"South East Midlands","LSIP",202021,NA,"Further education and skills: Total",28800,20,"Total FE and skills provision","20/21"
"South Yorkshire","LSIP",202021,NA,"Apprenticeships: Total",4170,20,"Apprenticeships (all ages)","20/21"
"South Yorkshire","LSIP",202021,NA,"Community learning: Total",3060,20,"Community learning (adults only)","20/21"
"South Yorkshire","LSIP",202021,NA,"Education and training: Total",19550,20,"Education and training (adults only)","20/21"
"South Yorkshire","LSIP",202021,NA,"Further education and skills: Total",26660,20,"Total FE and skills provision","20/21"
"Stoke-on-Trent and Staffordshire","LSIP",202021,NA,"Apprenticeships: Total",3540,20,"Apprenticeships (all ages)","20/21"
"Stoke-on-Trent and Staffordshire","LSIP",202021,NA,"Community learning: Total",3610,20,"Community learning (adults only)","20/21"
"Stoke-on-Trent and Staffordshire","LSIP",202021,NA,"Education and training: Total",12260,20,"Education and training (adults only)","20/21"
"Stoke-on-Trent and Staffordshire","LSIP",202021,NA,"Further education and skills: Total",19180,20,"Total FE and skills provision","20/21"
"Swindon and Wiltshire","LSIP",202021,NA,"Apprenticeships: Total",2940,20,"Apprenticeships (all ages)","20/21"
"Swindon and Wiltshire","LSIP",202021,NA,"Community learning: Total",930,20,"Community learning (adults only)","20/21"
"Swindon and Wiltshire","LSIP",202021,NA,"Education and training: Total",6180,20,"Education and training (adults only)","20/21"
"Swindon and Wiltshire","LSIP",202021,NA,"Further education and skills: Total",10630,20,"Total FE and skills provision","20/21"
"Tees Valley","LSIP",202021,NA,"Apprenticeships: Total",2530,20,"Apprenticeships (all ages)","20/21"
"Tees Valley","LSIP",202021,NA,"Community learning: Total",4800,20,"Community learning (adults only)","20/21"
"Tees Valley","LSIP",202021,NA,"Education and training: Total",16240,20,"Education and training (adults only)","20/21"
"Tees Valley","LSIP",202021,NA,"Further education and skills: Total",21980,20,"Total FE and skills provision","20/21"
"Thames Valley Berkshire","LSIP",202021,NA,"Apprenticeships: Total",2270,20,"Apprenticeships (all ages)","20/21"
"Thames Valley Berkshire","LSIP",202021,NA,"Community learning: Total",4200,20,"Community learning (adults only)","20/21"
"Thames Valley Berkshire","LSIP",202021,NA,"Education and training: Total",7650,20,"Education and training (adults only)","20/21"
"Thames Valley Berkshire","LSIP",202021,NA,"Further education and skills: Total",14110,20,"Total FE and skills provision","20/21"
"The Marches","LSIP",202021,NA,"Apprenticeships: Total",2380,20,"Apprenticeships (all ages)","20/21"
"The Marches","LSIP",202021,NA,"Community learning: Total",1300,20,"Community learning (adults only)","20/21"
"The Marches","LSIP",202021,NA,"Education and training: Total",5830,20,"Education and training (adults only)","20/21"
"The Marches","LSIP",202021,NA,"Further education and skills: Total",10090,20,"Total FE and skills provision","20/21"
"West Midlands and Warwickshire","LSIP",202021,NA,"Apprenticeships: Total",9820,20,"Apprenticeships (all ages)","20/21"
"West Midlands and Warwickshire","LSIP",202021,NA,"Community learning: Total",10840,20,"Community learning (adults only)","20/21"
"West Midlands and Warwickshire","LSIP",202021,NA,"Education and training: Total",49450,20,"Education and training (adults only)","20/21"
"West Midlands and Warwickshire","LSIP",202021,NA,"Further education and skills: Total",67650,20,"Total FE and skills provision","20/21"
"West of England (inc North Somerset)","LSIP",202021,NA,"Apprenticeships: Total",3270,20,"Apprenticeships (all ages)","20/21"
"West of England (inc North Somerset)","LSIP",202021,NA,"Community learning: Total",3700,20,"Community learning (adults only)","20/21"
"West of England (inc North Somerset)","LSIP",202021,NA,"Education and training: Total",11350,20,"Education and training (adults only)","20/21"
"West of England (inc North Somerset)","LSIP",202021,NA,"Further education and skills: Total",18020,20,"Total FE and skills provision","20/21"
"West Yorkshire","LSIP",202021,NA,"Apprenticeships: Total",7330,20,"Apprenticeships (all ages)","20/21"
"West Yorkshire","LSIP",202021,NA,"Community learning: Total",9040,20,"Community learning (adults only)","20/21"
"West Yorkshire","LSIP",202021,NA,"Education and training: Total",33620,20,"Education and training (adults only)","20/21"
"West Yorkshire","LSIP",202021,NA,"Further education and skills: Total",49190,20,"Total FE and skills provision","20/21"
"Worcestershire","LSIP",202021,NA,"Apprenticeships: Total",1550,20,"Apprenticeships (all ages)","20/21"
"Worcestershire","LSIP",202021,NA,"Community learning: Total",940,20,"Community learning (adults only)","20/21"
"Worcestershire","LSIP",202021,NA,"Education and training: Total",4540,20,"Education and training (adults only)","20/21"
"Worcestershire","LSIP",202021,NA,"Further education and skills: Total",7240,20,"Total FE and skills provision","20/21"
