"area","geographic_level","time_period","cohort_level_group","all_unknown","all_notsust","cohort","appren","education","all_work"
"The Marches","LEP",201920,"All other qualifications","72","215","809","144","138","240"
"The Marches","LEP",201920,"Level 2","68","230","1054","170","236","350"
"The Marches","LEP",201920,"Level 3","174","423","4778","338","2511","1332"
"The Marches","LEP",201920,"Total","314","868","6641","652","2885","1922"
"West of England","LEP",201718,"All other qualifications","257","496","1982","369","271","589"
"West of England","LEP",201718,"Level 2","121","299","1874","312","383","759"
"West of England","LEP",201718,"Level 3","227","609","7387","611","3567","2373"
"West of England","LEP",201718,"Total","605","1404","11243","1292","4221","3721"
"West of England","LEP",201819,"All other qualifications","226","569","1995","344","318","538"
"West of England","LEP",201819,"Level 2","127","406","2326","332","662","799"
"West of England","LEP",201819,"Level 3","265","506","6724","565","3279","2109"
"West of England","LEP",201819,"Total","618","1481","11045","1241","4259","3446"
"West of England","LEP",201920,"All other qualifications","224","573","2065","295","353","620"
"West of England","LEP",201920,"Level 2","92","311","1822","321","430","668"
"West of England","LEP",201920,"Level 3","247","562","7001","474","3478","2240"
"West of England","LEP",201920,"Total","563","1446","10888","1090","4261","3528"
"York and North Yorkshire","LEP",201718,"All other qualifications","53","145","475","84","56","137"
"York and North Yorkshire","LEP",201718,"Level 2","53","115","682","141","69","304"
"York and North Yorkshire","LEP",201718,"Level 3","152","222","2671","186","1257","854"
"York and North Yorkshire","LEP",201718,"Total","258","482","3828","411","1382","1295"
"York and North Yorkshire","LEP",201819,"All other qualifications","50","147","423","58","45","123"
